warscroll_id|line|name|description|legend|ability_type|is_reaction|condition|keywords|ability_phase|points_type|points|
000000416|1|Merciless Conquerors|<b>Effect:</b> Add 1 to the Attacks characteristic of this unit’s melee weapons while it is <a href="/aos4/the-rules/the-core-rules/#Contesting-Objectives">contesting an objective</a> you do not control.|When dispatched to take the enemy’s holdings, these warriors race forwards in the blink of an eye.|Offensive|false|Passive||Combat Phase|||
000000417|1|Storm of Iron-tipped Bolts|<b>Effect:</b> If this unit has not used a <span class="kwb">MOVE</span> ability this turn and was not set up this turn, add 1 to the Attacks characteristic of this unit’s <b>Master-crafted Repeater Crossbows</b> for the rest of the turn.|The skies darken moments before the enemy is shredded by a volley of iron bolts.|Shooting|false|Your Shooting Phase||Shooting Phase|||
000000418|1|Coven Guard|<b>Effect:</b> If this unit did not charge this turn, add 1 to <a href="">wound rolls</a> for this unit’s attacks for the rest of the turn.|These warriors are trained to wait for the perfect moment before thrusting their spears into the hearts of their foes.|Offensive|false|Any Combat Phase||Combat Phase|||
000000423|1|Gromril Shieldwall|<b>Effect:</b> While this unit is affected by the ‘<a href="/aos4/factions/cities-of-sigmar/#Battle-Traits">Hold the Line</a>’ <span class="kwb">OFFICAR’S</span> <span class="kwb">ORDER</span> ability, it has <a href="/aos4/the-rules/the-core-rules/#Ward-Saves">Ward (4+)</a> instead of <a href="/aos4/the-rules/the-core-rules/#Ward-Saves">Ward (5+)</a>.|Once formed up into a shieldwall, a line of gromril-clad Ironbreakers is nigh impenetrable.|Defensive|false|Passive||Defensive reaction|||
000000424|1|’I Thought Duardin Were Made Of Sterner Stuff!’|<b>Effect:</b> Add 2 to the <a href="/aos4/the-rules/the-core-rules/#Objective-Control">control scores</a> of friendly <span class="tooltip00117" data-tooltip-content="#tooltip_content00117" data-tooltip-anchor="#tooltip_content00117"><span class="kwb">CITIES</span> <span class="kwb2">OF</span> <span class="kwb">SIGMAR</span> <span class="kwb">DUARDIN</span></span> units, excluding <b>Longbeards</b> units, while they are wholly within 12" of this unit.|A disgruntled look from a grumbling Longbeard is often enough to galvanise the spirits of younger duardin and keep them in the fight.|Control|false|Passive||End of Turn|||
000000425|1|Portents of Battle|<b>Declare:</b> Pick up to D3 <a href="/aos4/the-rules/the-core-rules/#Visibility">visible</a> friendly <span class="tooltip00118" data-tooltip-content="#tooltip_content00118" data-tooltip-anchor="#tooltip_content00118"><span class="kwb">CITIES</span> <span class="kwb2">OF</span> <span class="kwb">SIGMAR</span> <span class="kwb">HUMAN</span></span> units wholly within 12" of this unit to be the targets.<br><br><b>Effect:</b> Add 1 to <a href="">hit rolls</a> for the targets’ <a href="">combat attacks</a> until the start of your next turn.|Celestial Hurricanums leak magical energy, granting nearby soldiers visions of the imminent future that allow them to land their blows with uncanny accuracy.|Offensive|false|Once Per Turn (Army), Your Hero Phase||Hero Phase|||
000000425|2|Storm of Shemtek|<b>Declare:</b> Pick a <a href="/aos4/the-rules/the-core-rules/#Visibility">visible</a> enemy unit within 12" of this unit to be the target.<br><br><b>Effect:</b> Make a number of D3 rolls equal to the current battle round number. For each 2+, inflict an amount of <a href="/aos4/the-rules/the-core-rules/#Mortal-Damage">mortal damage</a> on the target equal to the roll.|A Celestial Hurricanum can summon a magical storm to batter the foe with the fury of the heavens. As the battle rages, the tempest grows ever stronger.|Shooting|false|Once Per Turn (Army), Your Shooting Phase||Shooting Phase|||
000000428|1|Abyssal Howl|<b>Declare:</b> Pick an enemy unit in combat with this unit to be the target.<br><br><b>Effect:</b> Roll a dice. On a 3+, subtract 5 from the target’s <a href="/aos4/the-rules/the-core-rules/#Objective-Control">control score</a> for the rest of the turn.|These creatures let loose spine-chilling roars when they scent the blood of their prey.|Control|false|Once Per Turn (Army), End of Any Turn|Rampage|End of Turn|||
000000429|1|Aura of Protection|<b>Effect:</b> Friendly <span class="kwb">CITIES</span> <span class="kwb2">OF</span> <span class="kwb">SIGMAR</span> units have <a href="/aos4/the-rules/the-core-rules/#Ward-Saves">Ward (6+)</a> while they are wholly within 12" of this unit.|Luminarks of Hysh are surrounded by a protective magical aura.|Defensive|false|Passive||Defensive reaction|||
000000429|2|Searing Beam of Light|<b>Effect:</b> Each time this unit attacks with its <b>Searing Beam of Light</b>, pick a point on the battlefield within range to be the target. If the attack scores a hit, draw a straight line between that point and the closest point on this unit’s base. Inflict D3 <a href="/aos4/the-rules/the-core-rules/#Mortal-Damage">mortal damage</a> on each <a href="/aos4/the-rules/the-core-rules/#Visibility">visible</a> unit (friendly and enemy) that the line passes across.|As interlocking lenses of aetherquartz click into place, a beam of blinding white light shoots forth to incinerate all before it.|Shooting|false|Passive||Shooting Phase|||
000000431|1|Sever One Head, Another Takes Its Place|<b>Effect:</b> <b><a href="/aos4/the-rules/the-core-rules/#Healing">Heal (6)</a></b> this unit.|It is almost impossible to kill a Hydra, for they regenerate wounds and regrow severed heads with alarming speed.|Defensive|false|Once Per Turn, End of Any Turn||End of Turn|||
000000431|2|Six-headed Strike|<b>Declare:</b> Pick an enemy unit in combat with this unit to be the target.<br><br><b>Effect:</b> Make 6 rolls of D3. For each roll that exceeds the target’s Health characteristic, inflict 1 <a href="/aos4/the-rules/the-core-rules/#Mortal-Damage">mortal damage</a> on the target.|Stoked into a killing rage by their handlers’ goads and whips, War Hydras lumber forward into battle, each of their six heads lashing out to strike the enemy.|Offensive|false|Once Per Turn (Army), Any Combat Phase|Rampage|Combat Phase|||
000000433|1|Hidden Murderer|<b>Effect:</b> While this unit is within the <a href="/aos4/the-rules/the-core-rules/#Combat-Range">combat range</a> of a friendly <span class="kwb">INFANTRY</span> unit that has 5 or more models and there are no enemy units within this unit’s combat range, this unit is not <a href="/aos4/the-rules/the-core-rules/#Visibility">visible</a> to enemy units.|Stalking the shadows, the Assassin only reveals their position when they launch a killing strike.|Defensive|false|Passive||Defensive reaction|||
000000433|2|In For The Kill|<b>Effect:</b> This unit has <a href="/aos4/the-rules/the-core-rules/#Strike-first-and-Strike-last">Strike-first</a> if it charged in the same turn.|With their target in sight, the Assassin bursts from the shadows and unleashes a flurry of attacks upon the unsuspecting victim.|Offensive|false|Passive||Combat Phase|||
000000434|1|Magic of the Realms|<b>Effect:</b> Pick a <span class="kwb">SPELL</span> ability that this unit can use. For the rest of the battle, add 1 to <a href="/aos4/the-rules/the-core-rules/#Spells">casting rolls</a> for this unit when it uses that <span class="kwb">SPELL</span> ability.|As varied as the Mortal Realms themselves, each Battlemage knows how to harness the arcane might of the land they call home.|Special|false|Deployment Phase||Start of Turn|||
000000435|1|’At Them, You Curs!’|<b>Effect:</b> Pick a friendly <a href="/aos4/factions/cities-of-sigmar/Black-Ark-Corsairs"><b>Black Ark Corsairs</b></a> unit that has not used a <a href="/aos4/the-rules/the-core-rules/#Fight-Abilities"><span class="kwb">FIGHT</span> ability</a> this turn and is within this unit’s <a href="/aos4/the-rules/the-core-rules/#Combat-Range">combat range</a> to be the target.<br><br>The target can be picked to use a <span class="kwb">FIGHT</span> ability immediately after the <span class="kwb">FIGHT</span> ability used by this unit has been resolved. If it is picked to do so, add 1 to the Attacks characteristic of the target’s melee weapons for the rest of the turn.|Under the gaze of their Fleetmaster, Scourge Corsairs slaughter the enemy without mercy.|Offensive|true|Reaction: You declared a <ky>Fight</ky> ability for this unit||Combat Phase|||
000000436|1|Direct the Gyrocorps|<b>Declare:</b> Pick up to 3 <a href="/aos4/the-rules/the-core-rules/#Visibility">visible</a> friendly <a href="/aos4/factions/cities-of-sigmar/Gyrocopter"><b>Gyrocopter</b></a> or <a href="/aos4/factions/cities-of-sigmar/Gyrobomber-1"><b>Gyrobomber</b></a> units wholly within 18" of this unit to be the targets.<br><br><b>Effect:</b> Roll a dice for each target. On a 3+, add 1 to <a href="">hit rolls</a> for the target’s attacks until the start of your next turn.|With phosphorescent munitions, Cogsmiths can direct bombing runs and counterattacks by the gyro-machines of the Ironweld Arsenal.|Offensive|false|Once Per Turn (Army), Your Hero Phase||Hero Phase|||
000000439|1|Runes of Spellbreaking|<b>Effect:</b> This unit can use the ‘<a href="">Unbind</a>’ ability as if it had <a href="/aos4/the-rules/the-core-rules/#Power-Level">Wizard (1)</a>.|Runelords dampen the magic of their enemies with ancient sigils of unbinding.|Special|false|Passive||Hero Phase|||
000000439|2|Forgefire|<b>Declare:</b> Pick a friendly <span class="tooltip00117" data-tooltip-content="#tooltip_content00117" data-tooltip-anchor="#tooltip_content00117"><span class="kwb">CITIES</span> <span class="kwb2">OF</span> <span class="kwb">SIGMAR</span> <span class="kwb">DUARDIN</span></span> unit wholly within 12" of this unit to be the target, then make a <a href="/aos4/the-rules/the-core-rules/#Prayers">chanting roll</a> of D6.<br><br><b>Effect:</b> Until the start of your next turn, add 1 to the Rend characteristic of the target’s melee weapons. In addition, if the chanting roll was 10+, pick another friendly <span class="kwb">CITIES</span> <span class="kwb2">OF</span> <span class="kwb">SIGMAR</span> <span class="kwb">DUARDIN</span> unit wholly within 12" of this unit. Add 1 to the Rend characteristic of that unit’s melee weapons until the start of your next turn as well.|Calling upon the latent power of runic engravings, Runelords imbue the weapons of their kin with ancient might.|Offensive|false|Your Hero Phase|Prayer|Hero Phase|Prayer|5|
000000440|1|Cruel Sacrifice|<b>Declare:</b> Pick a friendly <span class="tooltip00119" data-tooltip-content="#tooltip_content00119" data-tooltip-anchor="#tooltip_content00119"><span class="kwb">CITIES</span> <span class="kwb2">OF</span> <span class="kwb">SIGMAR</span> <span class="kwb">AELF</span></span> unit wholly within 6" of this unit to be the target.<br><br><b>Effect:</b> Add 1 to <a href="/aos4/the-rules/the-core-rules/#Spells">casting rolls</a> for this unit for the rest of the turn. Then, roll a dice. On a 4+, 1 model in the target unit is slain.|The Sorceress shows no mercy as she slits the throat of a nearby thrall and draws power from the blood that gushes forth.|Special|false|Once Per Turn (Army), Your Hero Phase||Hero Phase|||
000000440|2|Word of Pain|<b>Declare:</b> Pick an enemy unit in combat with this unit to be the target.<br><br><b>Effect:</b> Roll a dice. On a 3+, subtract 1 from <a href="">hit rolls</a> and <a href="">wound rolls</a> for the target’s attacks until the start of your next turn.|The Sorceress utters a forbidden name, wracking her foes with unbearable pain.|Defensive|false|Once Per Turn (Army), Any Combat Phase||Combat Phase|||
000000441|1|Fearless Leader|<b>Effect:</b> Pick a friendly <span class="tooltip00120" data-tooltip-content="#tooltip_content00120" data-tooltip-anchor="#tooltip_content00120"><span class="kwnon">non-</span><span class="kwb">HERO</span> <span class="kwb">CITIES</span> <span class="kwb2">OF</span> <span class="kwb">SIGMAR</span> <span class="kwb">DUARDIN</span></span> unit that has not used a <a href="/aos4/the-rules/the-core-rules/#Fight-Abilities"><span class="kwb">FIGHT</span> ability</a> this turn and is within this unit’s <a href="/aos4/the-rules/the-core-rules/#Combat-Range">combat range</a> to be the target. The target can be picked to use a <span class="kwb">FIGHT</span> ability immediately after the <span class="kwb">FIGHT</span> ability used by this unit has been resolved.|Warden Kings are often first into the fray, with their oathsworn kin following closely in their wake swinging gromril hammers and settling grudges.|Offensive|true|Reaction: You declared a <ky>Fight</ky> ability for this unit||Combat Phase|||
000000441|2|Ancestral Grudgebearer|<b>Declare:</b> Pick an enemy unit in your opponent’s army to bear a grudge against. You can pick an enemy unit that is in reserve.<br><br><b>Effect:</b> For the rest of the battle, add 1 to <a href="">wound rolls</a> for <a href="">combat attacks</a> made by friendly <span class="tooltip00117" data-tooltip-content="#tooltip_content00117" data-tooltip-anchor="#tooltip_content00117"><span class="kwb">CITIES</span> <span class="kwb2">OF</span> <span class="kwb">SIGMAR</span> <span class="kwb">DUARDIN</span></span> units that target that unit.|Every Warden King knows the names of those who wronged their forebears. As they march out to defend or reclaim their holds, they seek to settle those grudges.|Offensive|false|Once Per Battle (Army), Deployment Phase||Start of Turn|||
000000444|1|Battle Damaged|<b>Effect:</b> While this unit has 10 or more damage points, the Attacks characteristic of its <b>Griffon’s Razor Claws and Twin Beaks</b> is 4.||Damage|false|Passive||Start of Turn|||
000000444|2|Ghurish Ferocity|<b>Effect:</b> Roll a dice. On a 2+, add 1 to the Damage characteristic of this unit’s <b>Griffon’s Razor Claws and Twin Beaks</b> for attacks that target enemy <span class="kwb">MONSTERS</span> for the rest of the turn.|The twinheaded griffons of Ghur ridden by Amber Battlemages are alpha predators that prey upon other megafauna.|Offensive|false|Once Per Turn (Army), Any Combat Phase|Rampage|Combat Phase|||
000000446|1|Battle Damaged|<b>Effect:</b> While this unit has 10 or more damage points, the Attacks characteristic of its <b>Black Dragon’s Fearsome Jaws and Claws</b> is 4.||Damage|false|Passive||Start of Turn|||
000000446|2|Under the Shadow of Black Wings|<b>Effect:</b> Add 1 to charge rolls for friendly <span class="tooltip00121" data-tooltip-content="#tooltip_content00121" data-tooltip-anchor="#tooltip_content00121"><span class="kwb">CITIES</span> <span class="kwb2">OF</span> <span class="kwb">SIGMAR</span> <span class="kwb">AELF</span> <span class="kwb">CAVALRY</span></span> units while they are wholly within 12" of this unit.|Dreadlords send in the cavalry to weaken the enemy before swooping down to deliver the killing blow.|Movement|false|Passive||Charge Phase|||
000000446|3|Indiscriminate Slaughter|<b>Declare:</b> Pick all units (friendly and enemy) within this unit’s <a href="/aos4/the-rules/the-core-rules/#Combat-Range">combat range</a>, excluding this unit, to be the targets.<br><br><b>Effect:</b> Roll a D3 for each target. On a 2+, inflict an amount of <a href="/aos4/the-rules/the-core-rules/#Mortal-Damage">mortal damage</a> on the target equal to the roll.|The cruel rituals involved in raising Black Dragons curse them with sadistic urges, causing them to revel in slaughter just as much as their Dreadlord riders.|Offensive|false|Once Per Turn (Army), Any Combat Phase|Rampage|Combat Phase|||
000000449|1|Battle Damaged|<b>Effect:</b> While this unit has 10 or more damage points, the Attacks characteristic of its <b>Black Dragon’s Fearsome Jaws and Claws</b> is 4.||Damage|false|Passive||Start of Turn|||
000000449|2|Command Underlings|<b>Declare:</b> Pick up to 3 friendly <span class="tooltip00122" data-tooltip-content="#tooltip_content00122" data-tooltip-anchor="#tooltip_content00122"><span class="kwb">CITIES</span> <span class="kwb2">OF</span> <span class="kwb">SIGMAR</span> <span class="kwb">AELF</span> <span class="kwb">INFANTRY</span></span> units wholly within 12" of this unit to be targets.<br><br><b>Effect:</b> Add 3" to the Move characteristic of each target for the rest of the turn.|The cold-hearted rulers of the Darkling Covens wield absolute control over their ensorcelled underlings, commanding them to do their bidding unquestioningly.|Movement|false|Your Hero Phase||Hero Phase|||
000000449|3|Feed on Life Force|<b>Declare:</b> Pick an enemy unit in combat with this unit to be the target.<br><br><b>Effect:</b> Roll a D3. On a 2+, inflict an amount of <a href="/aos4/the-rules/the-core-rules/#Mortal-Damage">mortal damage</a> on the target equal to the roll. If any enemy models are slain by this ability, place a <b>dark sorcery token</b> next to this unit for the rest of the battle, to a maximum of 3 <a href="/aos4/the-rules/the-core-rules/#Tokens">tokens</a>.|The Black Dragon tears into the enemy, spilling copious blood as the Sorceress completes her dark ritual.|Special|false|Once Per Turn (Army), End of Any Turn|Rampage|End of Turn|||
000000449|4|Dark Sorcery|<b>Effect:</b> Add 1 to <a href="/aos4/the-rules/the-core-rules/#Spells">casting rolls</a> for this unit for each <b>dark sorcery token</b> it has.|The Sorceress draws power from the blood spilled by her Black Dragon.|Special|false|Passive||Hero Phase|||
000000450|1|More Pressure!|<b>Effect:</b> Roll 2D6. If the roll is less than the number of damage points this unit has, inflict D3 <a href="/aos4/the-rules/the-core-rules/#Mortal-Damage">mortal damage</a> on this unit. Otherwise, pick 1 of the following effects to apply to this unit until the start of your next turn:<br><br><i><b>Power the Wheels:</b></i> This unit can use a Run ability and still use <span class="kwb">SHOOT</span> and/or <span class="kwb">CHARGE</span> abilities later in the turn.<br><br><i><b>Power the Guns:</b></i> Add 3 to the Attacks characteristic of this unit’s <b>Steam Gun</b>.|Pumping pressure into the valves and pistons of a Steam Tank can improve its performance – but risks a catastrophic backfire.|Special|false|Your Hero Phase||Hero Phase|||
000000450|2|Division Commander|<b>Declare:</b> Pick up to 2 friendly <a href="/aos4/factions/cities-of-sigmar/Steam-Tank"><b>Steam Tank</b></a> units to be the targets.<br><br><b>Effect:</b> For the rest of the turn, add 1 to <a href="">hit rolls</a> for <a href="">shooting attacks</a> made by this unit and by each target.|From atop the turret, the commander directs the other tanks in their division upon the battlefield.|Shooting|false|Once Per Battle, Your Shooting Phase||Shooting Phase|||
000000451|1|Skilled Swashbucklers|<b>Effect:</b> Each time you make an unmodified <a href="">save roll</a> of 6 for a combat attack that targets this unit, inflict 1 <a href="/aos4/the-rules/the-core-rules/#Mortal-Damage">mortal damage</a> on the attacking unit after the <a href="/aos4/the-rules/the-core-rules/#Fight-Abilities"><span class="kwb">FIGHT</span> ability</a> has been resolved.|With a flash of steel, each ill-timed strike directed at a Corsair is paid for in blood as the aelf delivers a perfect riposte.|Offensive|false|Passive||Defensive reaction|||
000000452|1|Steel and Sorcery|<b>Effect:</b> While any friendly <span class="tooltip00123" data-tooltip-content="#tooltip_content00123" data-tooltip-anchor="#tooltip_content00123"><span class="kwb">CITIES</span> <span class="kwb2">OF</span> <span class="kwb">SIGMAR</span> <span class="kwb">AELF</span> <span class="kwb">INFANTRY</span> <span class="kwb">HEROES</span></span> are wholly within this unit’s <a href="/aos4/the-rules/the-core-rules/#Combat-Range">combat range</a>, both this unit and those friendly units have <a href="/aos4/the-rules/the-core-rules/#Ward-Saves">Ward (5+)</a>.|Black Guard are often charged with protecting heroes on the field of battle.|Defensive|false|Passive||Defensive reaction|||
000000453|1|Sow Havoc|<b>Declare:</b> Pick an enemy unit in combat with this unit to be the target.<br><br><b>Effect:</b> Roll a dice. On a 3+:<br><ul><li>Inflict D3 <a href="/aos4/the-rules/the-core-rules/#Mortal-Damage">mortal damage</a> on the target.</li><li>This unit can immediately use the ‘<a href="">Retreat</a>’ ability as if it were your movement phase without any mortal damage being inflicted on it.</li></ul>|The speed and discipline of the Dark Riders is unmatched, allowing them to charge the enemy’s weak points and retreat before the foe can react.|Special|false|End of Any Turn||End of Turn|||
000000456|1|Bestial Instincts|<b>Effect:</b> For the rest of the turn, add 1 to the Attacks characteristic of this unit’s <b>Drakespawn’s Ferocious Jaws</b> while it is in combat with any damaged enemy units or while it is in combat with any enemy units that have had any models slain.|As the Drakespawn tear apart their prey, the scent of fresh gore sends them into a frenzy.|Offensive|false|Any Combat Phase||Combat Phase|||
000000457|1|Severing Strike|<b>Effect:</b> If this unit charged this turn, this unit’s attacks score <a href="">critical hits</a> on unmodified <a href="">hit rolls</a> of 5+.|Heads roll and crimson arcs of hot blood spurt into the air as these warriors swing their deadly blades.|Offensive|false|Passive||Combat Phase|||
000000458|1|Glorious Martyrs|<b>Effect:</b> Each time a model in this unit is slain by a combat attack and that model was in combat with the attacking unit, roll a dice. Add 1 to the roll if this unit is wholly within 12" of a friendly <a href="/aos4/factions/cities-of-sigmar/Pontifex-Zenestra-Matriarch-of-the-Great-Wheel"><b>Pontifex Zenestra</b></a>. On a 5+, inflict 1 <a href="/aos4/the-rules/the-core-rules/#Mortal-Damage">mortal damage</a> on the attacking unit after the <a href="/aos4/the-rules/the-core-rules/#Fight-Abilities"><span class="kwb">FIGHT</span> ability</a> has been resolved.|When all hope is lost, a Flagellant will fling themselves at the enemy with reckless abandon, heedless of their own survival.|Offensive|false|Passive||Combat Phase|||
000000462|1|Grudgebuster Bombs|<b>Declare:</b> If this unit used a <span class="kwb">MOVE</span> ability this phase, pick an enemy unit that does not have <span class="kwb">FLY</span> and that this unit passed across this turn to be the target.<br><br><b>Effect:</b> Pick 1 of the following effects:<br><br><i><b>Tactical Bombing:</b></i> Roll a D3. On a 2+, inflict an amount of <a href="/aos4/the-rules/the-core-rules/#Mortal-Damage">mortal damage</a> on the target equal to the roll.<br><br><i><b>Drop It All!:</b></i> Make 2 rolls of D3. For each 2+, inflict an amount of mortal damage on the target equal to the roll. Then, roll a D3 for each unit (friendly and enemy) within the target’s <a href="/aos4/the-rules/the-core-rules/#Combat-Range">combat range</a> that does not have <span class="kwb">FLY</span>. On a 2+, inflict an amount of mortal damage on that unit equal to the roll. Once the ‘Drop It All!’ effect of this ability has been resolved, this unit cannot use this ability again for the rest of the battle.|Gyrobombers swoop over the enemy lines, dropping a lethal payload onto the hapless warriors below.|Offensive|false|Your Movement Phase||Movement Phase|||
000000464|1|Oathsworn|<b>Effect:</b> While any friendly <span class="tooltip00124" data-tooltip-content="#tooltip_content00124" data-tooltip-anchor="#tooltip_content00124"><span class="kwb">CITIES</span> <span class="kwb2">OF</span> <span class="kwb">SIGMAR</span> <span class="kwb">DUARDIN</span> <span class="kwb">INFANTRY</span> <span class="kwb">HEROES</span></span> are wholly within this unit’s <a href="/aos4/the-rules/the-core-rules/#Combat-Range">combat range</a>, both this unit and those friendly units have <a href="/aos4/the-rules/the-core-rules/#Ward-Saves">Ward (5+)</a>.|These warriors are oathsworn to protect their liege.|Defensive|false|Passive||Defensive reaction|||
000000465|1|Cinderblast Bomb|<b>Declare:</b> If this unit is not in combat, pick a <a href="/aos4/the-rules/the-core-rules/#Visibility">visible</a> enemy unit within 6" of it to be the target.<br><br><b>Effect:</b> Roll a dice. On a 3+, inflict an amount of <a href="/aos4/the-rules/the-core-rules/#Mortal-Damage">mortal damage</a> on the target equal to the roll.|This weapon explodes in a burst of shrapnel and flame.|Shooting|false|Once Per Turn (Army), Your Shooting Phase||Shooting Phase|||
000000482|1|More Pressure!|<b>Effect:</b> Roll 2D6. If the roll is less than the number of damage points this unit has, inflict D3 <a href="/aos4/the-rules/the-core-rules/#Mortal-Damage">mortal damage</a> on this unit. Otherwise, pick 1 of the following effects to apply to this unit until the start of your next turn:<br><br><i><b>Power the Wheels:</b></i> This unit can use a <span class="kwb">RUN</span> ability and still use <span class="kwb">SHOOT</span> and/or <span class="kwb">CHARGE</span> abilities later in the turn.<br><br><i><b>Power the Guns:</b></i> Add 3 to the Attacks characteristic of this unit’s <b>Steam Gun</b>.|Pumping pressure into the valves and pistons of a Steam Tank can improve its performance – but risks a catastrophic backfire.|Special|false|Your Hero Phase||Hero Phase|||
000000486|1|Overwhelming Storm|<b>Declare:</b> If this unit is <a href="/aos4/the-rules/the-core-rules/#Contesting-Objectives">contesting an objective</a> that you control, pick a friendly <span class="tooltip00057" data-tooltip-content="#tooltip_content00057" data-tooltip-anchor="#tooltip_content00057"><span class="kwnon">non-</span><span class="kwb">HERO</span> <span class="kwb">STORMCAST</span> <span class="kwb">ETERNALS</span> <span class="kwb">INFANTRY</span></span> unit within 12" of this unit to be the target.<br><br><b>Effect:</b> For the rest of the phase, add 1 to <a href="">wound rolls</a> for the target’s <a href="">combat attacks</a>.|Few can stand before the unleashed power of the Sacrosanct chambers.|Offensive|false|Any Combat Phase||Combat Phase|||
000000486|2|Averon Stormsire|<b>Effect:</b> While this unit’s <b>Averon Stormsire</b> is on the battlefield, it has <a href="/aos4/the-rules/the-core-rules/#Power-Level">Wizard (1)</a>.|Averon can summon forth a storm of celestial lightning of unmatchable ferocity.|Special|false|Passive||Hero Phase|||
000000487|1|Lethal Payload|<b>Effect:</b> Each time this unit uses a <span class="kwb">SHOOT</span> ability, pick either the <b>Big Shot</b> or <b>Hail Shot</b> weapon characteristics for all the attacks it makes with its <b>Ironblaster</b> <b>Cannon</b>.|An Ironblaster’s rifled barrel can be loaded with projectiles that fill its copious width or with several smaller cannonballs to cover a wider area.|Shooting|false|Passive||Shooting Phase|||
000000488|1|Rain of Scrap|<b>Declare:</b> Pick an enemy unit that had any models slain this turn by this unit’s <a href="">shooting attacks</a> to be the target.<br><br><b>Effect:</b> Subtract 1 from <a href="">hit rolls</a> for the target’s attacks for the rest of the turn.|Salvaged weapons and shards of metal rain down upon the enemy, forcing them to take cover or dodge out of the way.|Defensive|false|Your Shooting Phase||Shooting Phase|||
000000488|2|Load It Up!|<b>Effect:</b> If this unit is within the <a href="/aos4/the-rules/the-core-rules/#Combat-Range">combat range</a> of a friendly <a href="/aos4/factions/ogor-mawtribes/Gnoblars"><b>Gnoblars</b></a> unit, this unit’s <a href="">shooting attacks</a> score <a href="">critical hits</a> on unmodified <a href="">hit rolls</a> of 5+ until the start of your next turn.|Gnoblars close to a Scraplauncher will diligently scavenge any nearby scrap to pile upon the catapult. After all, looking busy is a good way to avoid getting stepped on by an angry ogor!|Shooting|false|Your Shooting Phase||Shooting Phase|||
000000489|1|Insatiable Gluttony|<b>Effect:</b> If you have used the ‘Feast on Flesh’ ability this battle, add 1 to the <a href="/aos4/the-rules/the-core-rules/#Objective-Control">control score</a> of this unit for each model in this unit.|Once Gluttons have started eating, it is nearly impossible to shift them.|Control|false|Passive||End of Turn|||
000000490|1|Battle Damaged|<b>Effect:</b> While this unit has 10 or more damage points, the Attacks characteristic of its <b>Stonehorn’s Rock-hard Horns</b> is 4.||Damage|false|Passive||Start of Turn|||
000000490|2|Stonehorn Avalanche|<b>Effect:</b> If this unit <a href="">charged</a> this turn, roll a dice. On a 3+, when this unit makes a <a href="/aos4/the-rules/the-core-rules/#Pile-in-Moves">pile-in move</a> this phase, add D6" to the distance it can move.|With hearty roars, the Beastriders pick their target and send their Stonehorn crashing forward with the force of a mountain’s worth of snow and rock.|Movement|false|Once Per Turn (Army), Any Combat Phase|Rampage|Combat Phase|||
000000490|3|Stone Skeleton|<b>Effect:</b> Ignore the first damage point that would be allocated to this unit in each phase.|The thick, rocklike skeletons of these beasts can take substantial punishment.|Defensive|false|Passive||Defensive reaction|||
000000491|1|Battle Damaged|<b>Effect:</b> While this unit has 10 or more damage points, the Attacks characteristic of its <b>Thundertusk’s Colossal Tusks</b> is 2.||Damage|false|Passive||Start of Turn|||
000000491|2|Everwinter’s Assault|<b>Declare:</b> If this unit <a href="">charged</a> this turn, pick an enemy unit in combat with it to be the target.<br><br><b>Effect:</b> Roll a dice. On a 3+, for the rest of the turn:<br><ul><li>If the target is a <span class="kwb">MONSTER</span>, subtract 3 from its <a href="/aos4/the-rules/the-core-rules/#Objective-Control">control score</a>.</li><li>If the target is a non-<span class="kwb">MONSTER</span> unit, subtract 5 from its control score.</li></ul>|The enemy are left scattered and reeling before the combination of the Thundertusk’s charge and the great missiles loosed by its riders, forced to give ground until they can regather their wits.|Control|false|Once Per Turn (Army), End of Any Turn|Rampage|End of Turn|||
000000492|1|Savage Hunger|<b>Effect:</b> While they are wholly within 12" of this unit, friendly <span class="tooltip00125" data-tooltip-content="#tooltip_content00125" data-tooltip-anchor="#tooltip_content00125"><span class="kwb">GUTBUSTERS</span></span> units can use <span class="kwb">CHARGE</span> abilities even if they used a <span class="kwb">RUN</span> ability in the same turn.|The Butcher stokes the hunger of a group of nearby ogors, causing even slight belly-rumbles to erupt into the nigh-uncontrollable desire to feast.|Movement|false|Passive||Charge Phase|||
000000493|1|Torrent of Flame|<b>Effect:</b> Add 1 to the Damage characteristic of this unit’s <b>Fire Breath</b> for attacks that target <span class="kwb">INFANTRY</span>.|Fiery morsels are consumed by this ogor moments before they spew a torrent of flames at the enemy.|Shooting|false|Passive||Shooting Phase|||
000000494|1|The Hunt is On|<b>Declare:</b> Pick this unit if it is <b>outflanking the prey</b>.<br><br><b>Effect:</b> Set up this unit wholly within 9" of a battlefield edge and more than 9" from all enemy units. Then, set up each <a href="/aos4/factions/ogor-mawtribes/Frost-Sabres"><b>Frost Sabres</b></a> unit that was set up <b>outflanking the prey</b> with this unit wholly within 12" of it and more than 9" from all enemy units.|Sensing the time is right, the Icebrow Hunter and their Frost Sabre companions launch their ambush.|Movement|false|Your Movement Phase||Movement Phase|||
