id|name|faction_id|source_id|legend|regiment_options|notes|description|role|virtual|no_reinforced|link|Move|Save|Control|Health|Ward|UnitSize|Cost|
000002602|The Sternieste Garrison|FE|000000108|||||Regiment of Renown|false|false|https://wahapedia.ru/aos4/factions/flesh-eater-courts/The-Sternieste-Garrison||||||||
000002604|Veremord’s Shamblers|FE|000000108|||||Regiment of Renown|false|false|https://wahapedia.ru/aos4/factions/flesh-eater-courts/Veremord-s-Shamblers||||||||
000002682|Flesh-eater Courts Hero|FE||||||Infantry Hero|true|false|https://wahapedia.ru/aos4/factions/flesh-eater-courts/Flesh-eater-Courts-Hero|6"|5+|2|5|6+|||
000002923|Nurgle’s Gift|FE|000000143|||||Regiment of Renown|false|false|https://wahapedia.ru/aos4/factions/flesh-eater-courts/Nurgle-s-Gift||||||||
000002982|Mask of the Deceiver|FE|000000027|||||Regiment of Renown|false|false|https://wahapedia.ru/aos4/factions/flesh-eater-courts/Mask-of-the-Deceiver||||||||
000003066|Scions of the Necropolis|FE|000000023|||||Regiment of Renown|false|false|https://wahapedia.ru/aos4/factions/flesh-eater-courts/Scions-of-the-Necropolis||||||||
000003069|The Liche’s Hand|FE|000000023|||||Regiment of Renown|false|false|https://wahapedia.ru/aos4/factions/flesh-eater-courts/The-Liche-s-Hand||||||||
000003074|Enforcers of the Tithe|FE|000000023|||||Regiment of Renown|false|false|https://wahapedia.ru/aos4/factions/flesh-eater-courts/Enforcers-of-the-Tithe||||||||
000003091|Heralds of the Bone-tithe|FE|000000023|||||Regiment of Renown|false|false|https://wahapedia.ru/aos4/factions/flesh-eater-courts/Heralds-of-the-Bone-tithe||||||||
000003095|Karahtet’s Siege Breaker|FE|000000023|||||Regiment of Renown|false|false|https://wahapedia.ru/aos4/factions/flesh-eater-courts/Karahtet-s-Siege-Breaker||||||||
000003129|The Lost-Song Spirits|FE|000000015|||||Regiment of Renown|false|false|https://wahapedia.ru/aos4/factions/flesh-eater-courts/The-Lost-Song-Spirits||||||||
000003276|Cryptguard|FE||Cryptguard are drawn from the cannibal ‘serfs’ of an abhorrant’s kingdom. Each has impressed their liege through some great feat of endurance – perhaps catching a blade intended for the vampire, deliberately or otherwise. As a reward, they are inducted into their monarch’s bodyguard, given better scraps from the feasting table and a pick of weapons from the royal armoury – relics that have long been steeped in a miasma of madness. Cryptguard take great pride in their tenacity, and their proximity to the abhorrants’ necromantic energies render them remarkably difficult to slay.||Spearhead: Carrion Retainers||Infantry|true|false|https://wahapedia.ru/aos4/factions/flesh-eater-courts/Cryptguard-1|6"|6+|1|1|5+|10||
000003277|Morbheg Knights|FE||The Morbheg Knights believe themselves to be proud and chivalric warriors mounted upon noble feathered steeds of the sky. This could not be further from the truth, for their mounts are in fact vile Nightshriekers, the latter-day spawn of Morbheg – ancient godbeast sire to all chiropteran beasts. Though Nightshriekers cannot fly in the conventional sense, they possess immensely powerful hind limbs with which to leap far through the air, allowing the Morbheg Knights to crash into unsuspecting foes and wreak havoc.||Spearhead: Carrion Retainers||Cavalry|true|false|https://wahapedia.ru/aos4/factions/flesh-eater-courts/Morbheg-Knights-1|12"|4+|1|4|6+|3||
000003278|Abhorrant Archregent|FE||The vampiric abhorrants known as Archregents are amongst the most powerful of all their degenerate brood. Through crazed bloodlust and the sheer force of their deluded will, they have bound vast cannibal empires to them, and they command the loyalty of innumerable gibbering ghouls. Though Archregents are more than capable of tearing foes apart in a flurry of fangs, they take a warped satisfaction in watching their minions carry the day. Many wield their dark magics to ‘bless’ those under their command, turning them into even more ferocious killing machines.||Spearhead: Carrion Retainers||Infantry Hero|true|false|https://wahapedia.ru/aos4/factions/flesh-eater-courts/Abhorrant-Archregent-1|6"|5+|2|6|6+|1||
000003279|Varghulf Courtier|FE||In the eyes of the ghouls, Varghulfs are saintly warriors, aglow with divine power. Undeniably, they are amongst the most monstrous examples of the abhorrant bloodline, misbegotten horrors whose lust for blood and meat has overwhelmed whatever trace of self-control that remained. Only the most lordly of their kin can hope to command a Varghulf; any other who approaches will be torn apart in a shower of gore. Even then, one can do little more than goad these beasts into the fray before letting the Varghulf indulge its flesh-mangling hungers as it wishes, feasting on the fallen before darting away to strike elsewhere with preternatural swiftness.||Spearhead: Carrion Retainers||Infantry Hero|true|false|https://wahapedia.ru/aos4/factions/flesh-eater-courts/Varghulf-Courtier-1|10"|5+|2|8|6+|1||
000003350|Abhorrant Gorewarden|FE||A Gorewarden bears the keys to the kingdom and oversees the protection of their liege’s borderlands. They perch, gargoyle-like, atop toppled spires and battlements for days and nights on end, eyes blazing. Once they sight their prey, the vampire throws their head back, shrieking for the hunt. Clad in what they perceive to be great finery, the Gorewarden leads a flight of bloodthirsty predators to savage the unwary intruders.||Spearhead: Charnel Watch||Infantry Hero|true|false|https://wahapedia.ru/aos4/factions/flesh-eater-courts/Abhorrant-Gorewarden-1|12"|5+|2|7|6+|1||
000003351|Crypt Horrors|FE||Crypt Horrors have been granted a heady boon – the chance to sip from the veins of an abhorrant and be empowered by their unholy vitae. The transformation that seizes these ghouls is harrowing; their bodies distend as muscles swell in grotesque fashion and their spines crack and burst from their backs. Despite their beastly appearance, as knights charged with defending the kingdom and punishing its enemies, they enjoy a place of honour amongst the cannibal courts.||Spearhead: Charnel Watch||Infantry|true|false|https://wahapedia.ru/aos4/factions/flesh-eater-courts/Crypt-Horrors-1|7"|5+|1|4|6+|3||
000003352|Royal Beastflayers|FE||The noble hunt is a hallowed thing to the Flesh‑eater Courts, and the Royal Beastflayers play a key role in this joyous celebration. Led by a vampiric Flaymaster, these ghouls plunge into the tangled wilds of their domains, beating out both prey and trespassers so they might be pursued and ripped apart. Some wear the skins of totem beasts. Others have been seized by mutation themselves, degenerating further into the creatures known as Offal Hounds. All are foul things, forever salivating and wild.||Spearhead: Charnel Watch||Infantry|true|false|https://wahapedia.ru/aos4/factions/flesh-eater-courts/Royal-Beastflayers-1|6"|6+|1|1|6+|10||
000003353|Crypt Flayers|FE||Winged and bloated, Crypt Flayers are perceived as angelic beings by the cannibal masses – a far cry from their monstrous true nature. Taking flight upon ragged, leathery pinions, bones driven through their flesh and fangs caked in gore, they seek out prey to descend upon. While they are viciously capable of tearing apart foes with talon and fang, the Crypt Flayers’ true threat is the soul-shredding shrieks they can let loose. What the ghouls hear as soft, divine choruses are instead blood-curdling cacophonies that can rip the mind in twain.||Spearhead: Charnel Watch||Infantry|true|false|https://wahapedia.ru/aos4/factions/flesh-eater-courts/Crypt-Flayers-1|12"|5+|1|4|6+|3||
000000226|Auric Runefather|FY||Glorious lodge leaders and warriors both, the Auric Runefathers take to battle with the fury of Grimnir burning in their very veins. So fearsome are these grizzled and venerable kings that enemies have been known to flee rather than trade blows with a Runefather’s greataxe. Each one carries a mountain of responsibility upon their broad shoulders, ensuring their lodge receives a steady flow of ur-gold through which it can release the essence of their dead god. A Runefather’s rule is measured by foes they have defeated and ur gold gathered during their reign. Many of the riches and artefacts they accrue are sealed in vaults to which they alone bear the key.<br><br>As a leader that has proven themselves the most worthy Runeson of their many siblings and who has won glory a hundred times over, Runefathers are formidable warlords, their battle-lust tempered with experience. The lordly presence of a Runefather, surrounded by the bravest and most capable warriors of the lodge, inspires the warbands of the fyrd to fi|0-1 %000013305Grimnir’s Chosen%, Any %000001150Fyreslayers%|||Infantry Hero|false|true|https://wahapedia.ru/aos4/factions/fyreslayers/Auric-Runefather|4"|5+|2|5|6+|1|130|
000000227|Auric Runemaster|FY||Auric Runemasters are revered high priests of a lodge’s Zharrgrim. It is they who craft the ur-gold runes that are hammered into Fyreslayer flesh, granting the bearer a sliver of the power of Grimnir. Auric Runemasters are attuned to their deity like no other and their ability to detect deposits of ur-gold is unmatched.<br><br>Unlike a Runesmiter, a Runemaster has tempered their fiery nature and draws upon their connection to Grimnir’s divine power to offer invaluable counsel to their Runefather. Not even the most rash of lodge leaders would make decisions on matters of ur-gold or war without first consulting their Runemaster. The role of spiritual advisor, however, does not mean that a Runemaster is a peaceful individual. Rather, they are able to think with a rational head while channelling emotions into manifestations of blazing magmic energy.<br><br>Each Runemaster carries a brazier-staff lit by the flames of his magmahold’s master forge. By slamming the base of their staff upon the ground, the battlefield|0-1 %000013305Grimnir’s Chosen%, Any %000001150Fyreslayers%|||Infantry Hero|false|true|https://wahapedia.ru/aos4/factions/fyreslayers/Auric-Runemaster|4"|5+|2|5|6+|1|180|
000000228|Auric Runesmiter|FY||The prayers of an Auric Runesmiter are a war cry and their blessings are blazing coronas of flame. Within the thick of the fighting, their chants become burning energy made manifest, for battle is the domain of their ancestral god Grimnir. These members of the Zharrgrim priesthood are responsible for accruing ur-gold, and will take to the fore of battle to deliver their sermons to the warriors fighting to retrieve it. With shouted tales of ancestral heroics, their own battle-joy swells until divine energy sparks out from them in waves. Any warriors around the Runesmiters are inspired by their rumbling chants, filling them with vigour and righteous fury. This causes their ur-gold runes to blaze and sparkle as Grimnir’s essence responds in kind, filling their bearers with fell-handed power.<br><br>The Runesmiters have a deep knowledge of metal and rock thanks to their affinity with their holy fires. As a result, many have developed other, more elemental powers. They can control magmic forces, summon cinderstorm|Any %000001150Fyreslayers%|||Infantry Hero|false|true|https://wahapedia.ru/aos4/factions/fyreslayers/Auric-Runesmiter|4"|5+|2|5|6+|1|100|
000000229|Auric Runeson|FY||The fury of youth blazes in the blood of the Auric Runesons. Fyreslayer tradition maintains that when a Runefather perishes, the most capable of his offspring will inherit rulership of the lodge. An Auric Runeson must prove their worth constantly if they wish to outshine their many siblings. This ruthless hunger for glory leads them to recklessly seek out the part of the battlefield where the fighting is thickest – and their eagerness for the most challenging fights often leads them to plunge into danger with a fearlessness remarkable even for Fyreslayers.<br><br>Seeking to forge their own legend, many Auric Runesons will strike out alone with a band of their closest followers. On their travels they will earn great bounties of ur-gold and hunt down the most ferocious monsters to slay, often returning to their Runefather with severed heads or stripped hides to display as trophies. Each is trained from youth with the artefact weapons of their ancestors, making each a powerhouse in their own right that will only|0-1 %000013305Grimnir’s Chosen%, Any %000001150Fyreslayers%|This <span class="kwb">HERO</span> can join an eligible regiment as Grimnir’s Chosen.||Infantry Hero|false|true|https://wahapedia.ru/aos4/factions/fyreslayers/Auric-Runeson|4"|5+|2|5|6+|1|90|
000000230|Battlesmith|FY||Ancestral reverence is at the centre of duardin culture, and the Fyreslayers are no different. It is the sacred task of the Battlesmith to rouse their kin, both around the fire and in the heat of battle, by chanting the great sagas of their forebears. In turn, the fyrds fight ever harder, forging their own legends for the Battlesmith to observe and record.<br><br>Of course, to inspire the front lines in such a way demands incredible fighting prowess of the Battlesmiths. Each is handpicked by a lodge’s Runefather from amidst its finest forge workers, ensuring they possess immense strength and a knack for slicing up foes with a fyresteel axe. They are expected to strike their own icons of Grimnir to hold aloft in battle, and the sight of such fearsome totems stoke the inner flames of all Fyreslayers and rally them around it with renewed strength. Any warriors within earshot of a Battlesmith booming legends of old finds themselves rekindled in spirit, their ur-gold runes blazing with Grimnir’s power.|Any %000001150Fyreslayers%|This <span class="kwb">HERO</span> regiment as can join an eligible Grimnir’s Chosen.||Infantry Hero|false|true|https://wahapedia.ru/aos4/factions/fyreslayers/Battlesmith|4"|5+|5|5|6+|1|100|
000000232|The Chosen Axes|FY|000000138|The deeds of Fjul-Grimnir are spoken of by generations of Vostarg warriors. For them, he is the epitome of that which the Sons of Grimnir should aspire to, a fearless warrior who has sacrificed his body and soul in pursuit of honour and ur-gold. The Chosen Axes are the hand-picked champions of the mighty Runefather Fjul-Grimnir. Bellowing oaths and trailing sparks, these dauntless warriors launch themselves into battle alongside their beloved leader, smashing aside all in their path.||This unit cannot be reinforced.|<b><i>The models in this unit are:<br><ul><li>Fjul-Grimnir (champion, armed with a Latchkey Grandaxe)</li><li>Tefk Flamebearer (armed with Fyresteel Weapons)</li><li>Vol Orrukbane (armed with Fyresteel Weapons)</li><li>Mad Maegrim (armed with Fyresteel Weapons)</li></ul></i></b>|Infantry|false|true|https://wahapedia.ru/aos4/factions/fyreslayers/The-Chosen-Axes|4"|5+|1|3|6+|4|120|
000000233|Auric Runefather on Magmadroth|FY||Glorious lodge leaders and warriors both, the Auric Runefathers take to battle with the fury of Grimnir burning in their very veins. So fearsome are these grizzled and venerable kings that enemies have been known to flee rather than trade blows with a Runefather’s greataxe. Each one carries a mountain of responsibility upon their broad shoulders, ensuring their lodge receives a steady flow of ur-gold through which it can release the essence of their dead god. A Runefather’s rule is measured by foes they have defeated and ur gold gathered during their reign. Many of the riches and artefacts they accrue are sealed in vaults to which they alone bear the key.<br><br>Particularly storied Runefathers sometimes ride to battle on the backs of fire-breathing Magmadroths. These great salamanders are the descendants of Vulcatrix, the beast that died in battle with Grimnir centuries before. It is said only those who possess exceptional will and prowess can tame these creatures. Those that ride to war atop a Magmadroth co|0-1 %000013305Grimnir’s Chosen%, 0-1 %000013863Vulcatrix’s Chosen%, Any %000001150Fyreslayers%|This <span class="kwb">HERO</span> can join an eligible regiment as Vulcatrix’s Chosen.||Monster Hero|false|true|https://wahapedia.ru/aos4/factions/fyreslayers/Auric-Runefather-on-Magmadroth|10"|4+|5|14|6+|1|330|
000000234|Auric Runesmiter on Magmadroth|FY||The prayers of an Auric Runesmiter are a war cry and their blessings are blazing coronas of flame. Within the thick of the fighting, their chants become burning energy made manifest, for battle is the domain of their ancestral god Grimnir. These members of the Zharrgrim priesthood are responsible for accruing ur-gold, and will take to the fore of battle to deliver their sermons to the warriors fighting to retrieve it. With shouted tales of ancestral heroics, their own battle-joy swells until divine energy sparks out from them in waves. Any warriors around the Runesmiters are inspired by their rumbling chants, filling them with vigour and righteous fury. This causes their ur-gold runes to blaze and sparkle as Grimnir’s essence responds in kind, filling their bearers with fell-handed power.<br><br>The most powerful Runesmiters of the Zarrgrim Priesthood will ride to battle upon the backs of Magmadroths. These great salamanders are the descendants of Vulcatrix, the beast that died in battle with Grimnir centurie|Any %000001150Fyreslayers%|||Monster Hero|false|true|https://wahapedia.ru/aos4/factions/fyreslayers/Auric-Runesmiter-on-Magmadroth|10"|4+|5|14|6+|1|300|
000000235|Auric Runeson on Magmadroth|FY||The fury of youth blazes in the blood of the Auric Runesons. Fyreslayer tradition maintains that when a Runefather perishes, the most capable of his offspring will inherit rulership of the lodge. An Auric Runeson must prove their worth constantly if they wish to outshine their many siblings. This ruthless hunger for glory leads them to recklessly seek out the part of the battlefield where the fighting is thickest – and their eagerness for the most challenging fights often leads them to plunge into danger with a fearlessness remarkable even for Fyreslayers.<br><br>Some Runesons will ride to battle upon the backs of flame spitting Magmadroths. These great salamanders are the descendants of Vulcatrix, the beast that died in battle with Grimnir centuries before. It is said only those who possess exceptional will and prowess can tame these creatures. Many Runesons raise their Magmadroths from infancy, seeing this as another way in which they can prove their worthiness as a potential leader. Those that ride to war |0-1 %000013305Grimnir’s Chosen%, Any %000001150Fyreslayers%|This <span class="kwb">HERO</span> can join an eligible regiment as Vulcatrix’s Chosen.||Monster Hero|false|true|https://wahapedia.ru/aos4/factions/fyreslayers/Auric-Runeson-on-Magmadroth|10"|4+|5|14|6+|1|250|
000000236|Auric Hearthguard|FY||The warriors of the Auric Hearthguard are renowned for their steadfast bravery – holding ground no matter how dire the circumstances and facing even certain doom without abandoning their duty. They are tasked with guarding the forge-temple of their magmahold where ur-gold is stored and runes are forged. The absolute importance of this sacred site leads the Zharrgrim priesthood to handpick its guardians from the hold’s ranks, chosen for their implacability as much as their martial prowess. Small groups of them will often fight as bodyguards to the Zharrgrim priests, allowing their wards to safely retrieve more ur-gold deposits.<br><br>Of course, warriors of the Auric Hearthguard are as fiery and belligerent as any of their kin. However, they channel their battle-fury not into wild swings and reckless charges but into focusing the flaming devastation of their favoured weapon: the magmapike. These ornate hand-cannons spew a ceaseless barrage of superheated lava at their target, each blazing missile capable of me|Duardin, Infantry|||Infantry|false|false|https://wahapedia.ru/aos4/factions/fyreslayers/Auric-Hearthguard|4"|6+|1|2|6+|5|110|
000000237|Doomseeker|FY||Hacking through foes in an arc of fire and splattering blood, the Doomseekers fight with no regard for their own safety. These reckless warriors have sworn the barazakdum, or doom-oath in the Azyrite tongue, and have departed in search of a death worthy of legend. Each Doomseeker will make this vow for a different reason. Some will do so to restore their honour after breaking a vow or failing in their duty.<br><br>A Doomseeker will take on any foe, no matter how outmatched they might be. Their life no longer holds any value other than to die a meaningful death, so these warriors will slash and maim until their last breath rattles in their lungs.<br><br>Before setting off from their lodge for the last time, a Doomseeker will forge themselves a final weapon using the ever-burning flames of their master forge. This creates a weapon that is eternally wreathed in that flame, allowing one final connection between a Doomseeker and their estranged kin. They also carry a runic war-iron in their off hand that absorbs s|Any %000001150Fyreslayers%|This <span class="kwb">HERO</span> regiment as can join an eligible Grimnir’s Chosen.||Infantry Hero|false|true|https://wahapedia.ru/aos4/factions/fyreslayers/Doomseeker|4"|5+|2|5|6+|1|80|
000000238|Grimwrath Berzerker|FY||A Grimwrath Berzerker is the greatest warrior of their lodge, a surly champion touched by the volatile battle-fury of Grimnir. Wielding a two handed fyrestorm greataxe, these grizzled duardin cut a swathe of ruin through their foes, spitting insults and blood-curdling threats all the while.<br><br>These truculent warriors are solitary in nature, eschewing the camaraderie of their kin and refusing to answer to anyone but the lodge’s Runefather. This may be due to the source of their power – dozens of ur-gold runes are embedded into their bodies, imbuing them with the strength of an inferno and the divine rage of Grimnir himself. Most Fyreslayers cannot bear more than a few ur-gold runes at a time, and only the few that survive and overcome the gruelling, often lethal, Tests of Wrath are said to have the soul of a Grimwrath. The only place they truly feel at peace is in the heart of battle, entering a state of such focused fury that their greataxe becomes a fiery blur of motion.|Any %000001150Fyreslayers%|This <span class="kwb">HERO</span> can join an eligible regiment as Grimnir’s Chosen.||Infantry Hero|false|true|https://wahapedia.ru/aos4/factions/fyreslayers/Grimwrath-Berzerker|4"|5+|2|5|6+|1|120|
000000244|Zharrgron Flame-spitter|FY||By concentrating their magmic powers, a Zharrgrim priest can summon forth fiery heat from the bowels of the realm. As energy bubbles up to the surface, the battlefield cracks like an eggshell. From its depths shoots an angry geyser of flame, punching its way forth into the sky. As earthquakes rock the battlefield, the foe quickly finds themselves bombarded with molten death. Once the smoke clears, ash and melted corpses of the enemy flanks are all that remain. The fyrds are then free to cut into their foes’ main forces, rushing them from multiple angles and hacking them down with blazing fyresteel weapons.<br><br>In Aqshy, where fire churns under the surface of even the coldest tundras, the earth-wounds caused by Zharrgron Flame-spitters do not always close. More lava rushes forth, forming new hotspots of volcanic activity that can continue to bubble away for years. The greatest Aqshian battlefields are often pocked with magmic wounds that evidence the Fyreslayers’ past conquests.||||Manifestation|false|true|https://wahapedia.ru/aos4/factions/fyreslayers/Zharrgron-Flame-spitter|-|6+|7|5|6+|1||
000000245|Runic Fyrewall|FY||By calling upon the blazing heat of the realms beneath their feet, the Zharrgrim priests manipulate the battlefield in their allies’ favour. At a roared command, a Runic Fyrewall can be raised from the fiery chasms far beneath their soot-stained feet. These walls are formed of magma and gold that permanently lick with flames, suffused with the passionate energy of their summoner’s prayer. Glinting with runes, this scintillating barrier bars the enemy’s path and protects the flanks of the Fyreslayers’ fyrds as they press ever forward.<br><br>The leaping flames of a Runic Fyrewall act as a barrier that only creatures born offire can pass. The advancing fyrd can clamber through them unharmed, a flame of newfound vigour lighting within them as they do so. The Runic Fyrewall’s flames resonate with the ur-gold runes embedded in nearby Fyreslayers as well, causing them to ignite and blaze with power.||||Manifestation|false|true|https://wahapedia.ru/aos4/factions/fyreslayers/Runic-Fyrewall|-|3+|7|8|6+|1||
000000246|Molten Infernoth|FY||At the peak of battle, if foes threaten to overwhelm the fyrd and the duardin are severely outnumbered, a Zharrgrim priest will begin a guttural chant with devastating results. This is the summons for a Molten Infernoth, an elemental manifestation that personifies the blazing wrath of Vulcatrix. As the war-chant grows in fury, this fiery avatar will come bursting out of the realm’s crust in a magmic swell of rock and flame.<br><br>This ferocious entity lumbers across the battlefield, wading through solid earth as if it were water and leaving a glowing, igneous wake. It blasts enemies with raging torrents of lava that can immolate front lines in an instant. Its likeness to the ur‑droth godbeast Vulcatrix inspires all Fyreslayers that look upon it, causing them to fight ever harder, not wanting to shame Grimnir’s memory by appearing weak in the face of his killer. This elemental manifestation will stop at nothing to vanquish the Fyreslayer’s foes. As soon as the immediate threats are dealt with, it will melt it||||Manifestation|false|true|https://wahapedia.ru/aos4/factions/fyreslayers/Molten-Infernoth|8"|5+|7|10|6+|1||
000000247|Magmic Battleforge|FY||Totems in Grimnir or Vulcatrix’s image have long been raised during battle to instil courage in warriors and empower the runes embedded in their flesh. The Magmic Battleforge does this on a much larger scale. Formed in moments from molten blood of the land, the Battleforge is a manifestation of Grimnir’s fury fused with the white-hot fires of Vulcatrix. It takes the form of the duardin ancestor-god, burning bright with Aqshian flames, and inspires all Fyreslayers who look upon it. This mystic furnace can be summoned to a battlefield, where its elemental heat can ignite ur-gold runes and stoke the powers of the Zharrgrim.<br><br>Drawing upon the powerful elemental energies burning within the Magmic Battleforge, a Zharrgrim priest casts clouds of cinders adrift on the air, imbuing those of their sacred order with power afresh. In times of need, a Zharrgrim priest may expend all of the Battleforge’s power, igniting the ur gold runes of their Fyreslayer kin and infusing the warriors with supernatural strength.|||<b>The following universal terrain abilities apply to this terrain feature (Terrain, 1.2):  <br><br>Cover, Impassable, Obscuring</b>|Faction Terrain|false|true|https://wahapedia.ru/aos4/factions/fyreslayers/Magmic-Battleforge|-|3+|0|8|6+|1|0|
000001410|Vulkite Berzerkers with Bladed Slingshields|FY||At the fore of the Fyreslayer fyrds come the Vulkite Berzerkers, doughty warriors that form the heart of their army. Wielding fyresteel axes and war-picks, they hurl themselves into the thick of combat, roaring and laughing as they hew their enemies apart. Even when they are riddled with arrows and bleeding from half a dozen grievous wounds, the Vulkite Berzerkers will fight on, the light of Grimnir in their eyes and wide smiles upon their blood-spattered faces.<br><br>The secret to these warriors’ terrifying resilience and battle-rage comes from the ur-gold runes that are ritually embedded in their flesh. These allow each Berzerker to channel the fury of Grimnir himself, augmenting the duardin’s physical prowess and resolve. When the latent power within these runes is fuelled by the rites of the Zharrgrim priests, the bearer’s martial skill reaches near supernatural levels.<br><br>Many Vulkite Berzerkers wield weapons in each hand, the better to overwhelm their foes with a flurry of attacks. Others choose to|Duardin, Infantry|||Infantry|false|false|https://wahapedia.ru/aos4/factions/fyreslayers/Vulkite-Berzerkers-with-Bladed-Slingshields|4"|5+|1|2|6+|10|140|
000001411|Auric Flamekeeper|FY||To the martial society of the Fyreslayers, death in battle is considered an honour – and often a certainty. It is for this reason that the solemn Auric Flamekeepers walk amongst their brethren, committing bodies to the flames and retrieving ur-gold runes from their flesh. In this way, the fallen might one day return to fight alongside Grimnir in the Doomgron – the final battle against darkness and malice. Despite their funerary obligations, like any other Fyreslayer, the Flamekeepers are formidable warriors. They take to battle in the most dire of circumstances, where their kin seek to emulate Grimnir’s last stand against his nemesis Vulcatrix.<br><br>Each Flamekeeper carries a Masterflame Rune, a simmering ember of the First Fire that erupted in the wake of Grimnir’s shattering. Whenever a Fyreslayer warrior falls in proximity to this artefact, the blazing power within them is drawn forth; the ur-gold hammered into their body glows with a blinding light as their flesh and spirit is returned to the flames. A |Any %000001150Fyreslayers%|||Infantry Hero|false|true|https://wahapedia.ru/aos4/factions/fyreslayers/Auric-Flamekeeper|4"|5+|2|5|6+|1|80|
000001649|Grimhold Exile|FY||To be a Grimhold Exile is to become an orphan of war, the last survivor of a magmahold that has fallen to ruin. Whilst many Fyreslayers would break upon the advent of such tragedy, these Exiles are souls of a rarer breed: duardin whose resolve cannot be broken no matter the unthinkable grief they have suffered. They are not deathseekers, but agents of retribution, determined to ensure the legacy of their people survives.<br><br>When battle is joined, Grimhold Exiles transform into roaring agents of vengeance, with each blow from their hammers carrying Grimnir’s own blazing wrath. An Exile’s hammers are imbued with a portion of the Zharrkhul – the legendary Master Flame, ignited during the ancestor-god’s violent demise, that burns at the heart of each magmahold. Along with the ur-gold runes they stamp into their bodies, the Master Flame is the closest connection Grimnir’s cult have to their fallen deity. Some Grimhold Exiles seek to one day found a new magmahold, using the fragment of the Zharrkhul they carry |Any %000001150Fyreslayers%|This <span class="kwb">HERO</span> regiment as can join an eligible Grimnir’s Chosen.||Infantry Hero|false|true|https://wahapedia.ru/aos4/factions/fyreslayers/Grimhold-Exile|4"|5+|2|6|6+|1|90|
000001704|Vulkyn Flameseekers|FY||The monster-taming duardin known as Vulkyn Flameseekers will go to great lengths to acquire the progeny of Vulcatrix, the Ur-Salamander that died in battle with Grimnir. They consider Magmadroth eggs of equal importance to ur-gold. According to their creed, parts of Vulcatrix’s spirit exploded across the realms to combine with seven sacred flames known as the vulkazharr. In recovering the vulkazharr and bathing their Magmadroth eggs in this godly essence, the Flameseekers believe they can create creatures infused with Vulcatrix’s power.<br><br>It is little surprise that the first practitioners of the Vulkyn creed were duardin of the Lofnir lodge. As denizens of the Realm of Beasts, they understand well the role these behemoths play on the battlefield. They spend more time than any other lodge rearing Magmadroths, often all the way from birth, creating unbreakable bonds between beast and duardin.<br><br>Vulkyn Flameseekers seek their prizes with single-minded tenacity. They are marked out by drothscale armour |Duardin, Infantry|This unit cannot be reinforced.|<b><i>Each model in this unit is armed with Vulkyn Weapons.<br><ul><li>1/9 models is a Kyndledroth and must replace their weapons with Emberteeth.</li><li>The champion is a Vulkyn Runefather and cannot replace their weapons.</li></ul></i></b>|Infantry|false|true|https://wahapedia.ru/aos4/factions/fyreslayers/Vulkyn-Flameseekers|4"|5+|1|2|6+|9|160|
000001981|Hearthguard Berzerker with Berzerker Broadaxes|FY||The most skilled warriors of a magmahold are granted a place within the Hearthguard Berzerkers. These elite warriors are bodyguards to the royal family – the Auric Runefather and his Runesons. Hearthguard Berzerkers wield two-handed weapons, the better to keep the enemy at a distance from their ward. The deadly Berzerker broadaxe is a mighty weapon capable of splitting an ogor in two, while the flamestrike poleaxe features both a cleaving blade and a fiery brazier attached to the haft by a heavy chain.<br><br>Those deemed skilled enough warriors to join the Hearthguard Berzerkers are first invited to partake in ceremonial battles. Known as the Trials of Grimfyre, they involve the slaying of a gauntlet of beasts and monsters. Those who survive are allowed to pledge their oath of service, and in return are gifted their fireblessed weapon from the Runefather himself. The trials are a reflection of the challenges that await these warriors, for they must be prepared to lay down their lives unquestioningly for thei|Duardin, Infantry|||Infantry|false|false|https://wahapedia.ru/aos4/factions/fyreslayers/Hearthguard-Berzerker-with-Berzerker-Broadaxes|4"|6+|1|2|6+|5|110|
000001982|Vulkite Berzerkers with Fyresteel Weapons|FY||At the fore of the Fyreslayer fyrds come the Vulkite Berzerkers, doughty warriors that form the heart of their army. Wielding fyresteel axes and war-picks, they hurl themselves into the thick of combat, roaring and laughing as they hew their enemies apart. Even when they are riddled with arrows and bleeding from half a dozen grievous wounds, the Vulkite Berzerkers will fight on, the light of Grimnir in their eyes and wide smiles upon their blood-spattered faces.<br><br>The secret to these warriors’ terrifying resilience and battle-rage comes from the ur-gold runes that are ritually embedded in their flesh. These allow each Berzerker to channel the fury of Grimnir himself, augmenting a duardin’s physical prowess and resolve. When the latent power within these runes is fuelled by the rites of the Zharrgrim priests, the bearer’s martial skill reaches near supernatural levels.<br><br>Many Vulkite Berzerkers wield weapons in each hand, the better to overwhelm their foes with a flurry of attacks. When they plunge d|Duardin, Infantry|||Infantry|false|false|https://wahapedia.ru/aos4/factions/fyreslayers/Vulkite-Berzerkers-with-Fyresteel-Weapons|4"|6+|1|2|6+|10|120|
